number,company,symbol,ytd_return
378,Equifax,EFX,   -10.34
379,Coterra,CTRA,   -10.61
380,Marsh McLennan,MMC,   -10.73
381,Norwegian Cruise Line Holdings,NCLH,   -10.80
382,"Nike, Inc.",NKE,   -10.83
383,Invitation Homes,INVH,   -10.85
384,MSCI,MSCI,   -10.95
385,Paychex,PAYX,   -10.95
386,Dover Corporation,DOV,   -11.25
387,"Block, Inc.",XYZ,   -11.35
388,McCormick & Company,MKC,   -11.46
389,Federal Realty Investment Trust,FRT,   -11.57
390,Ameriprise Financial,AMP,   -11.58
391,Camden Property Trust,CPT,   -11.70
392,Fortinet,FTNT,   -11.73
393,Zoetis,ZTS,   -11.93
394,Tyler Technologies,TYL,   -12.34
395,CDW,CDW,   -12.41
396,Keurig Dr Pepper,KDP,   -12.50
397,ConocoPhillips,COP,   -12.55
398,Air Products,APD,   -12.71
399,Jack Henry & Associates,JKHY,   -12.71
400,Colgate-Palmolive,CL,   -12.74
401,EOG Resources,EOG,   -13.00
402,Ball Corporation,BALL,   -13.14
403,Amcor,AMCR,   -13.23
404,Equity Residential,EQR,   -13.31
405,International Paper,IP,   -13.47
406,Fortive,FTV,   -13.91
407,Builders FirstSource,BLDR,   -14.02
408,Bio-Techne,TECH,   -14.12
409,Intuitive Surgical,ISRG,   -14.15
410,Mid-America Apartment Communities,MAA,   -14.16
411,Lennox International,LII,   -14.17
412,Brown & Brown,BRO,   -14.18
413,Cognizant,CTSH,   -14.24
414,Ingersoll Rand,IR,   -14.64
415,ServiceNow,NOW,   -14.74
416,Schlumberger,SLB,   -14.78
417,Equinix,EQIX,   -14.78
418,Avery Dennison,AVY,   -14.81
419,Pool Corporation,POOL,   -14.86
420,Merck & Co.,MRK,   -14.98
421,AvalonBay Communities,AVB,   -14.98
422,PPG Industries,PPG,   -14.99
423,Dexcom,DXCM,   -15.01
424,Corpay,CPAY,   -15.06
425,Prudential Financial,PRU,   -15.08
426,Skyworks Solutions,SWKS,   -15.08
427,Diamondback Energy,FANG,   -15.17
428,FedEx,FDX,   -15.35
429,Church & Dwight,CHD,   -15.45
430,Verisk Analytics,VRSK,   -15.72
431,HP Inc.,HPQ,   -15.77
432,DaVita,DVA,   -15.78
433,Stanley Black & Decker,SWK,   -15.82
434,Becton Dickinson,BDX,   -16.03
435,Carrier Global,CARR,   -16.13
436,Weyerhaeuser,WY,   -16.23
437,Revvity,RVTY,   -16.31
